1,1,10.0065,0.2501,20.0,489.05,604.44,1492.89,1300.86,10.52,15.49,395.06,2318.91,8781.74,1.26,45.24,371.72,2388.09,8142.73,8.6019,0.03,368,2319,100.00,28.70,17.1601
1,2,35.0078,0.8416,60.0,449.44,555.42,1362.38,1126.59,5.48,8.00,194.14,2223.16,8360.91,1.03,41.63,183.43,2388.29,8079.21,9.2750,0.02,333,2223,100.00,14.80,8.9987
1,3,10.0033,0.2506,20.0,489.05,604.03,1496.74,1299.65,10.52,15.49,395.03,2318.84,8784.94,1.26,45.11,372.23,2388.02,8145.89,8.6357,0.03,368,2319,100.00,28.62,17.2334
1,4,0.0003,0.0018,100.0,518.67,642.46,1589.40,1398.69,14.62,21.60,554.69,2387.96,9076.22,1.30,47.14,522.37,2387.99,8149.33,8.3974,0.03,391,2388,100.00,39.03,23.4233
1,5,0.0005,0.0013,100.0,518.67,642.21,1587.15,1396.20,14.62,21.61,554.85,2388.00,9073.51,1.30,47.15,523.08,2388.01,8151.81,8.3813,0.03,392,2388,100.00,39.11,23.3709
1,6,35.0067,0.8403,60.0,449.44,555.58,1369.29,1126.13,5.48,8.00,194.27,2223.19,8362.79,1.02,41.83,183.00,2388.34,8076.87,9.2851,0.02,333,2223,100.00,14.98,8.9310
1,7,42.0068,0.8411,40.0,445.00,548.73,1348.41,1121.78,3.91,5.71,139.03,2212.32,8340.25,1.02,41.81,130.68,2388.34,8096.54,9.2954,0.02,329,2212,100.00,10.58,6.2861
1,8,35.0054,0.8406,60.0,449.44,555.69,1355.68,1118.01,5.48,8.00,195.23,2223.20,8363.07,1.02,41.48,183.00,2388.30,8078.42,9.2843,0.02,331,2223,100.00,14.91,8.8814
1,9,41.9997,0.8400,40.0,445.00,550.01,1349.47,1118.39,3.91,5.71,138.70,2212.19,8332.64,1.02,41.88,131.03,2388.23,8098.06,9.3354,0.02,330,2212,100.00,10.37,6.3703
1,10,9.9995,0.2520,20.0,489.05,604.41,1494.86,1302.06,10.52,15.49,395.23,2318.84,8793.98,1.26,45.14,372.13,2388.02,8148.09,8.6344,0.03,369,2319,100.00,28.56,17.2280
1,11,41.9998,0.8400,40.0,445.00,549.04,1351.79,1121.74,3.91,5.71,139.56,2212.26,8331.65,1.02,41.90,131.34,2388.30,8102.89,9.3008,0.02,330,2212,100.00,10.65,6.3317
1,12,35.0015,0.8418,60.0,449.44,555.13,1361.56,1126.21,5.48,8.00,194.84,2223.13,8355.59,1.02,41.69,183.19,2388.30,8082.19,9.2898,0.02,334,2223,100.00,14.72,8.9558
1,13,19.9988,0.7000,0.0,491.19,607.66,1480.48,1245.75,9.35,13.66,335.56,2324.00,8740.82,1.08,44.31,315.13,2388.12,8075.28,9.1919,0.02,364,2324,100.00,24.68,14.7256
1,14,25.0043,0.6200,80.0,462.54,536.72,1261.64,1044.53,7.05,9.03,175.21,1915.58,8022.60,0.94,36.42,164.84,2028.46,7884.71,10.8816,0.02,306,1915,84.93,14.41,8.5848
1,15,35.0015,0.8407,60.0,449.44,555.48,1361.16,1120.63,5.48,8.00,195.56,2223.23,8372.23,1.02,41.75,183.31,2388.33,8087.82,9.2603,0.02,333,2223,100.00,15.12,8.8489
1,16,42.0048,0.8409,40.0,445.00,549.45,1351.63,1123.20,3.91,5.72,138.94,2212.24,8324.86,1.02,41.65,131.11,2388.35,8102.70,9.3606,0.02,330,2212,100.00,10.66,6.3619
1,17,0.0012,0.0006,100.0,518.67,642.49,1585.53,1402.98,14.62,21.61,554.69,2387.99,9076.60,1.30,47.08,522.29,2387.98,8151.14,8.3994,0.03,392,2388,100.00,38.93,23.3511
1,18,20.0067,0.7000,0.0,491.19,607.04,1485.72,1242.05,9.35,13.65,335.07,2323.99,8735.47,1.07,43.98,315.15,2388.13,8072.76,9.1875,0.02,364,2324,100.00,24.55,14.7189
1,19,10.0008,0.2500,20.0,489.05,604.62,1500.27,1300.25,10.52,15.49,395.40,2318.88,8788.28,1.26,45.02,371.86,2388.04,8144.38,8.6007,0.03,369,2319,100.00,28.85,17.2043
